Closest HP Site,City,Latitude,Longitude,Year,Accident,Active Shooter,Civil Unrest,Criminal Activity,Health / Outbreak,Natural Disaster,Others,Political Unrest,Terrorist Act,Cyberattack,Power loss,Total_Risk_Score,Normalized_Risk_Score,Accident_Severity,Active Shooter_Severity,Civil Unrest_Severity,Criminal Activity_Severity,Health / Outbreak_Severity,Natural Disaster_Severity,Others_Severity,Political Unrest_Severity,Terrorist Act_Severity,Cyberattack_Severity,Power loss_Severity,Total_Risk_Score_Severity,Continent
Taipei City (TPC),Taipei City,-34.5948217,-58.5020211,2022,0.0,0.0,0.0,0.0,0.0,539.0,0.0,0.0,0.0,0.0,0.0,539.0,47.981651376146786,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,South America
Taipei City (TPC),Taipei City,-34.5948217,-58.5020211,2023,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,78.0,9.627329192546584,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,South America
Taipei City (TPC),Taipei City,-34.5948217,-58.5020211,2024,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,72.0,8.709175738724728,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,South America
Tijuana (TJM01),Tijuana,32.5317397,-117.019529,2021,0.0,0.0,0.0,50.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,112.0,20.53388090349076,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,North America
Tijuana (TJM01),Tijuana,32.5317397,-117.019529,2024,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,3.732503888024884,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,North America
Tlaquapaque (GLF),Guadalajara,20.6720375,-103.338396,2022,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.7339449541284404,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,North America
Warzawa (WSW),Warsaw,52.2333742,21.0711489,2022,42.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,5.5045871559633035,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Europe
Warzawa (WSW),Warsaw,52.2333742,21.0711489,2024,0.0,0.0,42.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,76.0,9.331259720062208,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Europe
Washington DC (DCP),Washington DC,38.8950368,-77.0365427,2021,84.0,0.0,0.0,24.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,142.0,26.69404517453799,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,North America
Washington DC (DCP),Washington DC,38.8950368,-77.0365427,2022,23.0,0.0,0.0,102.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,167.0,13.853211009174313,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,North America
Washington DC (DCP),Washington DC,38.8950368,-77.0365427,2023,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,15.527950310559005,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,North America
Wellington NZW),Wellington,-41.2887953,174.7772114,2021,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,93.0,16.632443531827516,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Oceania
Wellington NZW),Wellington,-41.2887953,174.7772114,2022,0.0,0.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.743119266055046,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Oceania
Wien (VIE),Wien,48.2083537,16.3725042,2021,0.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,8.829568788501026,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Europe
Wien (VIE),Wien,48.2083537,16.3725042,2022,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,3.1192660550458715,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Europe
Wien (VIE),Wien,48.2083537,16.3725042,2023,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,56.0,6.211180124223603,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Europe
Wroclaw (WRB),Wroclaw,51.1089776,17.0326689,2023,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,96.0,12.422360248447204,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Europe
Wuhan ( WUA),Wuhan,30.5951051,114.2999353,2023,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,76.0,9.316770186335404,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Asia
Wuhan (CWH),Wuhan,30.5951051,114.2999353,2021,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,105.0,19.096509240246405,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Asia
